incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Eastman Fire,True,2018-01-09T13:21:00Z,2017-09-18T16:04:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,"Road 29 & Road 26, southwest of Raymond",429,100,,CAL FIRE Madera-Mariposa-Merced Unit,-120.015509,37.14624,,32d7eab5-d948-4be0-af69-b233e311d2b9,https://www.fire.ca.gov/incidents/2017/9/18/eastman-fire/,2018-01-09T13:21:00Z,2018-01-09,2017-09-18,N,True,False
Grape Fire,True,2018-01-09T13:22:00Z,2017-09-19T13:02:00Z,CAL FIRE Mendocino Unit,,Mendocino,"Off Hwy 101 & Crawford Ranch Rd, Hopland",146,100,,"CAL FIRE Mendocino Unit, Hopland Fire, Ukiah Fire, Redwood Valley Fire",-123.1362,39.02482,,efa1dc61-85e3-4fb6-b6f6-04c3845d9ca6,https://www.fire.ca.gov/incidents/2017/9/19/grape-fire/,2018-01-09T13:22:00Z,2018-01-09,2017-09-19,N,True,False
Corral Fire,True,2018-04-05T10:48:00Z,2017-09-19T14:05:00Z,Unified Command: Alameda County Fireand CAL FIRE Santa Clara Unit,,Alameda,"Off Corral Hollow Road, South of Tracy",155,100,,Unified Command: Alameda County Fireand CAL FIRE Santa Clara Unit,-121.49925,37.63358,,19ada70e-4932-449c-8483-d65685995487,https://www.fire.ca.gov/incidents/2017/9/19/corral-fire/,2018-04-05T10:48:00Z,2018-04-05,2017-09-19,N,True,False
Murphy Fire,True,2018-01-09T13:23:00Z,2017-09-19T19:47:00Z,CAL FIRE Fresno-Kings Unit,,Fresno,"Hwy 33 & Shell Rd, north of Coalinga",237,100,,CAL FIRE Fresno-Kings Unit,-120.31598,36.24653,,a8567989-a0c5-4c31-9012-82f99d76129f,https://www.fire.ca.gov/incidents/2017/9/19/murphy-fire/,2018-01-09T13:23:00Z,2018-01-09,2017-09-19,N,True,False
Power Fire,True,2018-01-09T13:23:00Z,2017-09-20T21:07:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,"off Arburua Road and I-5, southwest of Los Banos",48,100,,CAL FIRE Madera-Mariposa-Merced Unit,-120.90462,36.94652,,e7cb239e-7d9e-440d-ba5a-c6881406ce95,https://www.fire.ca.gov/incidents/2017/9/20/power-fire/,2018-01-09T13:23:00Z,2018-01-09,2017-09-20,N,True,False
Huasna Fire,True,2018-01-09T13:23:00Z,2017-09-20T13:41:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,"Huasna Townsite Rd & Huasna Rd, Huasna",245,100,,"CAL FIRE San Luis Obispo Unit, Santa Barbara County Fire, Ventura County Fire, Cambria Fire Department",-120.39387,35.12269,,c64e288e-d258-45e0-8357-b7a7289c0b92,https://www.fire.ca.gov/incidents/2017/9/20/huasna-fire/,2018-01-09T13:23:00Z,2018-01-09,2017-09-20,N,True,False
Dexter Fire,True,2018-01-09T13:23:00Z,2017-09-20T14:53:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Mariposa,"Dexter Rd and Pine Lake Dr, 5 miles east of Coulterville",10,100,,CAL FIRE Madera-Mariposa-Merced Unit,-120.15846,37.76888,,04b4caff-a62d-465b-b9a7-81986f91c0c3,https://www.fire.ca.gov/incidents/2017/9/20/dexter-fire/,2018-01-09T13:23:00Z,2018-01-09,2017-09-20,N,True,False
32 Fire,True,2018-01-09T13:24:00Z,2017-09-25T11:03:00Z,CAL FIRE / Butte County Fire,,Butte,"Hwy 32 and Humboldt Road, 5 miles northeast of Chico ",28,100,,CAL FIRE / Butte County Fire,-121.7127,39.8255,,cf38fe5e-29ca-498d-bc9c-d3f2fd8ff883,https://www.fire.ca.gov/incidents/2017/9/25/32-fire/,2018-01-09T13:24:00Z,2018-01-09,2017-09-25,N,True,False
Estate Fire,True,2018-01-09T13:23:00Z,2017-09-23T11:05:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Solano,"Estate Rd & John Wayne Rd, north of Vacaville",55,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.0041,38.4446,,c9009967-c0c1-47d3-b2eb-47b2d7a5da0e,https://www.fire.ca.gov/incidents/2017/9/23/estate-fire/,2018-01-09T13:23:00Z,2018-01-09,2017-09-23,N,True,False
Jasper Fire,True,2018-01-09T13:25:00Z,2017-09-26T15:20:00Z,"Wheatland Fire Protection District ",,Yuba,"Jasper lane and Levee road, 1 mile NE of Wheatland",26,100,,"Wheatland Fire Protection District ",-121.40947,39.03168,,ab42234a-7930-4636-8af5-3fc11ca8b34d,https://www.fire.ca.gov/incidents/2017/9/26/jasper-fire/,2018-01-09T13:25:00Z,2018-01-09,2017-09-26,N,True,False
Edwards Fire,True,2018-01-09T13:25:00Z,2017-09-26T12:22:00Z,Oakland City Fire Department,,Alameda,"Edwards Ave and Mountain Blvd, 6 miles southeast of Oakland ",22,100,,Oakland City Fire Department,-122.169,37.77982,,c4f61042-d1ef-4d00-956d-785368ee34ca,https://www.fire.ca.gov/incidents/2017/9/26/edwards-fire/,2018-01-09T13:25:00Z,2018-01-09,2017-09-26,N,False,False
Poly Fire,True,2018-01-09T13:26:00Z,2017-09-26T15:30:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,near Cal Poly,105,100,,CAL FIRE San Luis Obispo Unit,-120.65279,35.3024,,cb3599f6-751d-4072-8db1-6e366ac603c9,https://www.fire.ca.gov/incidents/2017/9/26/poly-fire/,2018-01-09T13:26:00Z,2018-01-09,2017-09-26,N,True,False
Canyon Fire,True,2018-03-28T11:36:00Z,2017-09-25T13:03:00Z,CAL FIRE Riverside / USFS / Orange County Fire Authority / Anaheim Fire / Corona Fire Department,,Orange,"CA-91 and Cole Canyon, City of Anaheim",2662,100,,CAL FIRE Riverside / USFS / Orange County Fire Authority / Anaheim Fire / Corona Fire Department,-117.68598,33.8668,,0176a674-c102-4854-92af-7d09aa3e1430,https://www.fire.ca.gov/incidents/2017/9/25/canyon-fire/,2018-03-28T11:36:00Z,2018-03-28,2017-09-25,N,True,False
Lion Fire,True,2018-01-09T13:27:00Z,2017-09-27T14:00:00Z,USFS - Sequoia National Forest,,Tulare,Golden Trout Wilderness near Lion Meadow.,18900,100,,USFS - Sequoia National Forest,-118.48555,36.27138,,f2e55878-e387-412b-a067-dadc649bed43,https://www.fire.ca.gov/incidents/2017/9/27/lion-fire/,2018-01-09T13:27:00Z,2018-01-09,2017-09-27,N,False,False
Rucker Fire,True,2018-01-09T13:28:00Z,2017-09-29T14:42:00Z,Santa Barbara County Fire,,Santa Barbara,"Rucker Rd and Purisima Rd, 2 miles north east of Lompoc",444,100,,Santa Barbara County Fire,-120.4393,34.67403,,f839c34f-de3b-4e79-9b4f-e3502557d32b,https://www.fire.ca.gov/incidents/2017/9/29/rucker-fire/,2018-01-09T13:28:00Z,2018-01-09,2017-09-29,N,True,False
Lakewood Fire,True,2018-01-09T13:29:00Z,2017-09-29T15:58:00Z,Kern County Fire,,Kern,"Todd Ct and Brick Dr, east of Lake Isabella",40,100,,Kern County Fire,-118.46734,35.59302,,62a5257e-a841-4f7a-ae19-52aa89570bd9,https://www.fire.ca.gov/incidents/2017/9/29/lakewood-fire/,2018-01-09T13:29:00Z,2018-01-09,2017-09-29,N,True,False
Melba Fire,True,2018-01-09T13:28:00Z,2017-09-29T18:01:00Z,CAL FIRE / Riverside County Fire,,Riverside,Hy 74 and Melba Avenue,35,100,,CAL FIRE / Riverside County Fire,-117.10301,33.74925,,58533f37-ed81-4ac4-89e9-b4088684d9e7,https://www.fire.ca.gov/incidents/2017/9/29/melba-fire/,2018-01-09T13:28:00Z,2018-01-09,2017-09-29,N,True,False
Timm Fire,True,2018-01-09T13:29:00Z,2017-10-02T09:37:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Solano,"Timm Rd and Peaceful Glen Rd, 5 miles north of Vacaville ",100,100,,CAL FIRE Sonoma-Lake-Napa Unit,-121.97233,38.43658,,03d74bbd-627c-47af-a2e9-5351e6e16f6a,https://www.fire.ca.gov/incidents/2017/10/2/timm-fire/,2018-01-09T13:29:00Z,2018-01-09,2017-10-02,N,True,False
Ramblin Fire,True,2018-01-09T13:29:00Z,2017-10-03T11:44:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Mariposa,"Ramblin Road and Mount Lilac Road, 4 miles south of Bootjack",17,100,,CAL FIRE Madera-Mariposa-Merced Unit,-119.87465,37.41231,,273d1f78-c432-46c0-8969-26c3f936cc65,https://www.fire.ca.gov/incidents/2017/10/3/ramblin-fire/,2018-01-09T13:29:00Z,2018-01-09,2017-10-03,N,True,False
36 Fire,True,2018-01-09T13:29:00Z,2017-10-03T16:22:00Z,"CAL FIRE Tehama-Glenn Unit ",,Tehama,"off Hwy 36W and Monroe St., West Red Bluff",20,100,,"CAL FIRE Tehama-Glenn Unit ",-122.24731,40.20077,,bc12dbf6-db36-4dcf-86d6-84d3beb14cad,https://www.fire.ca.gov/incidents/2017/10/3/36-fire/,2018-01-09T13:29:00Z,2018-01-09,2017-10-03,N,True,False
Ridge Fire,True,2018-01-09T13:29:00Z,2017-10-06T14:38:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"Bartlett Springs, community of Clearlake",87,100,,"CAL FIRE Sonoma-Lake-Napa Unit, Northshore FD, Williams FD, BLM, USFS, South Lake FPD, Indian Valley FD and CA Dept. of Corrections and Rehabilitation",-122.576,39.15016,,2049dbb6-1a87-4d9d-abde-092d35072934,https://www.fire.ca.gov/incidents/2017/10/6/ridge-fire/,2018-01-09T13:29:00Z,2018-01-09,2017-10-06,N,True,False
Jones Fire,True,2018-01-09T13:31:00Z,2017-10-08T04:53:00Z,CAL FIRE Shasta-Trintiy Unit,,Shasta,"off of Argonaut Trail and Dry Creek Rd, Jones Valley",40,100,,CAL FIRE Shasta-Trintiy Unit,-122.24199,40.70627,,6ab80358-cb3c-4e2a-85da-0cd77003fc12,https://www.fire.ca.gov/incidents/2017/10/8/jones-fire/,2018-01-09T13:31:00Z,2018-01-09,2017-10-08,N,True,False
Fort Fire,True,2018-01-09T13:30:00Z,2017-10-07T20:00:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,"Fort Ross Rd and Hwy 1, north of Jenner",20,100,,CAL FIRE Sonoma-Lake-Napa Unit,-123.24713,38.51937,,fc87e089-36dc-4314-8321-7d91e7eead21,https://www.fire.ca.gov/incidents/2017/10/7/fort-fire/,2018-01-09T13:30:00Z,2018-01-09,2017-10-07,N,True,False
Freeway Fire,True,2018-01-09T13:31:00Z,2017-10-08T12:15:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"off of Jelly Ferry Rd and I-5, north of Red Bluff",10,100,,CAL FIRE Tehama-Glenn Unit,-122.255,40.24789,,e3ed6829-5211-436a-8e32-ec617c3ebc83,https://www.fire.ca.gov/incidents/2017/10/8/freeway-fire/,2018-01-09T13:31:00Z,2018-01-09,2017-10-08,N,True,False
Blue Fire,True,2018-01-09T13:30:00Z,2017-10-08T16:40:00Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"off of Blue Lake Blvd and Hwy 299,  east of Eureka ",20,100,Hwy 299 shut down both directions,CAL FIRE Humboldt-Del Norte Unit,-123.96844,40.88516,,e2c1718a-40e5-4139-a379-011c77f021bd,https://www.fire.ca.gov/incidents/2017/10/8/blue-fire/,2018-01-09T13:30:00Z,2018-01-09,2017-10-08,N,True,False
Cherokee Fire,True,2018-02-09T09:48:00Z,2017-10-08T21:45:00Z,CAL FIRE Butte Unit,,Butte,"off Cherokee Road and Zonalea Lane, Oroville ",8417,100,"Cherokee Road is now open. ",CAL FIRE Butte Unit,-121.52966,39.62496,,adf929a5-d508-4f69-8845-8fa1df8d4f95,https://www.fire.ca.gov/incidents/2017/10/8/cherokee-fire/,2018-02-09T09:48:00Z,2018-02-09,2017-10-08,N,True,False
Atlas Fire (Southern LNU Complex),True,2019-10-25T08:47:30Z,2017-10-08T21:52:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,"Napa, Solano","Off of Altas Peak Rd, south of Lake Berryessa",51624,100,,"CAL FIRE Sonoma-Lake-Napa Unit, CHP, Napa County	OES, Sonoma	County OES, Solano County OES, California State Parks, PG&E	and	CDCR.",-122.24367,38.39206,Wildfire,676946dc-1b38-4a09-9bbe-9ce638cfed52,https://www.fire.ca.gov/incidents/2017/10/8/atlas-fire-southern-lnu-complex/,2018-02-09T09:37:00Z,2018-02-09,2017-10-08,N,True,False
Tubbs Fire (Central LNU Complex),True,2019-10-25T08:50:05Z,2017-10-08T21:45:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,"Napa, Sonoma","off of Hwy 128 and Bennett Ln, Calistoga",36807,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.62879,38.60895,Wildfire,82c2aafa-ef04-49f0-a172-0dfa8a15582e,https://www.fire.ca.gov/incidents/2017/10/8/tubbs-fire-central-lnu-complex/,2018-02-09T09:27:00Z,2018-02-09,2017-10-08,N,True,False
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),True,2019-10-25T08:54:34Z,2017-10-08T22:00:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,"Napa, Sonoma","Hwy 12, north of Glen Ellen",56556,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.5209,38.4041,Wildfire,be79d28c-767d-4a0d-b168-e86a5842004f,https://www.fire.ca.gov/incidents/2017/10/8/nuns-adobe-norrbom-pressley-partrick-fires-oakmont-central-lnu-complex/,2018-02-09T09:30:00Z,2018-02-09,2017-10-08,N,True,False
Partrick Fire (Central LNU Complex),True,2018-01-09T13:33:00Z,2017-10-08T23:48:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Napa,"off Partrick Rd, west of Napa",0,100,,"CAL FIRE Sonoma-Lake-Napa Unit, Cooperating Agencies: Napa County OES, CHP, CDCR, Sonoma County OES, PG&E, California State Parks, and Solano County OES.",-122.39052,38.31802,,36d55b1a-a2f4-4f40-b57c-48341bb2ace5,https://www.fire.ca.gov/incidents/2017/10/8/partrick-fire-central-lnu-complex/,2018-01-09T13:33:00Z,2018-01-09,2017-10-08,N,True,False
LaPorte Fire (Wind Complex),True,2018-02-09T09:50:00Z,2017-10-09T00:57:00Z,CAL FIRE/Butte County Fire,,Butte,"La Porte Rd and Oro Bangor Hwy, Bangor",6151,100,,"CAL FIRE/Butte County Fire, Nevada County Sheriff’s Office, Butte County Sheriff’s Office, Yuba County Sheriff’s Office, Cal OES, Red Cross, California Highway Patrol, California Department of Corrections and Rehabilitation, PG & E, California Department of Transportation and Nevada Irrigation District.",-121.40613,39.39455,,4ca0e06c-4e6e-4e00-a4a4-6813e3200bd5,https://www.fire.ca.gov/incidents/2017/10/9/laporte-fire-wind-complex/,2018-02-09T09:50:00Z,2018-02-09,2017-10-09,N,True,False
Cascade Fire (Wind Complex),True,2019-10-25T08:43:59Z,2017-10-08T23:03:00Z,CAL FIRE Nevada-Yuba-Placer Unit,,Yuba,"Cascade Way and Marysville Rd, north of Collins Lake ",9989,100,,"CAL FIRE Nevada-Yuba-Placer Unit, Nevada County Sheriff’s Office, Butte County Sheriff’s Office, Yuba County Sheriff’s Office, Cal OES, Red Cross, California Highway Patrol, United States Forest Service, California Department of Corrections and Rehabilitation, PG & E, California Department of Transportation, Nevada Irrigation District, California Conservation Corps.",-121.4021,39.32198,Wildfire,608ed849-d1ec-4b0d-a477-d1b8e9c7e6dd,https://www.fire.ca.gov/incidents/2017/10/8/cascade-fire-wind-complex/,2018-02-09T09:39:00Z,2018-02-09,2017-10-08,N,True,False
McCourtney Fire (Wind Complex),True,2018-02-09T09:52:00Z,2017-10-09T00:00:00Z,CAL FIRE Nevada-Yuba-Placer Unit,,Nevada,"McCourtney Rd and Hwy 20, Grass Valley",76,100,,CAL FIRE Nevada-Yuba-Placer Unit,-121.08406,39.19325,,9a2b8ac1-41f4-4f98-a4e1-9b5ddee37251,https://www.fire.ca.gov/incidents/2017/10/9/mccourtney-fire-wind-complex/,2018-02-09T09:52:00Z,2018-02-09,2017-10-09,N,True,False
Redwood Valley Fire (Mendocino Lake Complex),True,2019-10-25T08:48:34Z,2017-10-08T23:36:00Z,CAL FIRE Mendocinio Unit,,Mendocino,"North of Hwy 20, west of Mendocino National Forest, south of Black Bart",36523,100,,"CAL FIRE Mendocinio Unit, Mendocino County, CALTRANS, California Dept. of Corrections and Rehabilitation, American Red Cross, PG&E, National Weather Service, and California Conservations Corps.",-123.16635,39.24873,Wildfire,c229ea5c-2ebd-4f80-892e-fc5da8a1eeea,https://www.fire.ca.gov/incidents/2017/10/8/redwood-valley-fire-mendocino-lake-complex/,2018-02-09T08:56:00Z,2018-02-09,2017-10-08,N,True,False
Point Fire,True,2018-01-09T13:33:00Z,2017-10-09T01:10:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Calaveras,"Hwy 26 and Higdon Rd., West Point",130,100,,CAL FIRE Tuolumne-Calaveras Unit,-120.52953,38.40234,,f30518d1-83ef-440c-8058-d4189bfedab7,https://www.fire.ca.gov/incidents/2017/10/9/point-fire/,2018-01-09T13:33:00Z,2018-01-09,2017-10-09,N,True,False
37 Fire,True,2018-01-09T13:34:00Z,2017-10-09T14:00:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,Hwy 37 & Lakeville Highway,1660,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.47301,38.14242,,fe6e94d7-7b47-4992-9a52-787e1fad8171,https://www.fire.ca.gov/incidents/2017/10/9/37-fire/,2018-01-09T13:34:00Z,2018-01-09,2017-10-09,N,True,False
Pozo Fire,True,2018-01-09T13:34:00Z,2017-10-09T14:30:00Z,Los Padres National Forest,,San Luis Obispo,near 3055  West Pozo Rd,45,100,,Los Padres National Forest,-120.44448,35.28738,,f8ce12e2-e7c1-4922-b584-63e4421d0598,https://www.fire.ca.gov/incidents/2017/10/9/pozo-fire/,2018-01-09T13:34:00Z,2018-01-09,2017-10-09,N,False,False
Tank Fire,True,2018-01-09T13:45:00Z,2017-10-26T11:55:00Z,"Kern County Fire ",,Kern,"Hwy 58 and Keene Ranch Rd, community of Keene",50,100,,"Kern County Fire ",-118.56578,35.21556,,fb042e0f-1aab-4ac4-9d09-947c9b9f14b6,https://www.fire.ca.gov/incidents/2017/10/26/tank-fire/,2018-01-09T13:45:00Z,2018-01-09,2017-10-26,N,True,False
Sulphur Fire (Mendocino Lake Complex),True,2018-02-09T09:29:00Z,2017-10-08T23:59:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"off Hwy 20 and Sulphur Bank Road, Clearlake Oaks",2207,100,,"CAL FIRE Sonoma-Lake-Napa Unit, Mendocino County; Lake County; Lake County Sheriff’s Office; CAL OES; California Highway Patrol; CALTRANS; California Dept. of Corrections and Rehabilitation; American Red Cross; PG&E; United States Forest Service; California National Guard; National Weather Service; California Conservation Corps, BLM, and Bureau of Indian Affairs",-122.64543,39.01387,,0f32c2db-7d28-4cf6-85b8-44b53899c8eb,https://www.fire.ca.gov/incidents/2017/10/8/sulphur-fire-mendocino-lake-complex/,2018-02-09T09:29:00Z,2018-02-09,2017-10-08,N,True,False
Lobo Fire (Wind Complex),True,2019-10-25T14:25:47Z,2017-10-09T00:01:00Z,CAL FIRE Nevada-Yuba-Placer Unit,,Nevada,"near Lone Lobo Trail, Rough and Ready",821,100,,"CAL FIRE Nevada-Yuba-Placer Unit, Nevada County Sheriff’s Office, Butte County Sheriff’s Office, Yuba County Sheriff’s Office, Cal OES, Red Cross, California Highway Patrol, California Department of Corrections and Rehabilitation, PG & E, California Department of Transportation and Nevada Irrigation District.",-121.12792,39.24549,Wildfire,29c37ab7-3af9-458f-b6d3-72023a8c1046,https://www.fire.ca.gov/incidents/2017/10/9/lobo-fire-wind-complex/,2018-02-09T09:51:00Z,2018-02-09,2017-10-09,N,True,False
Honey Fire,True,2018-01-09T13:34:00Z,2017-10-09T15:05:00Z,CAL FIRE/Butte County Fire,,Butte,"Honey Run Rd & Merlin Ln, southwest of Paradise ",150,100,Honey Run Road remains closed in the fire area.,CAL FIRE/Butte County Fire,-121.67261,39.74679,,579d5d2a-0e51-4058-92c7-37abd7fe4aad,https://www.fire.ca.gov/incidents/2017/10/9/honey-fire/,2018-01-09T13:34:00Z,2018-01-09,2017-10-09,N,True,False
Canyon 2 Fire,True,2018-04-05T10:47:00Z,2017-10-09T09:51:00Z,"Unified Command: CAL FIRE, Orange County, Anaheim City and Orange City",,Orange,"Off of East Santa Ana Canyon Rd, west of Gypsum Canyon",9217,100,"All Evacuation Orders have been lifted for the impacted fire areas as of October 11, 2017 at 5:00 p.m","Unified Command: CAL FIRE, Orange County, Anaheim City and Orange City, California Highway Patrol, Orange County Sheriff, Anaheim PD, Tustin PD, Orange PD, Irvine PD, Orange County Parks, California State Parks, Cal Trans, Orange County Animal Control, CCC, So Cal Gas, Irvine Ranch Water District, Transportation Corridor Agencies",-117.70975,33.87041,,969c721c-5f27-41d4-9a94-ffa12e351204,https://www.fire.ca.gov/incidents/2017/10/9/canyon-2-fire/,2018-04-05T10:47:00Z,2018-04-05,2017-10-09,N,True,False
Wildomar Fire,True,2018-01-09T13:45:00Z,2017-10-26T12:34:00Z,Cleveland National Forest,,Riverside,"S Main Divide Rd and Wildomar OHV Park, west of Wildomar City",866,100,,Cleveland National Forest,-117.34192,33.60247,,561d4f1b-0827-48a9-8034-e783d2761945,https://www.fire.ca.gov/incidents/2017/10/26/wildomar-fire/,2018-01-09T13:45:00Z,2018-01-09,2017-10-26,N,True,False
Tehama Fire,True,2018-01-09T13:46:00Z,2017-10-26T20:00:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"North Rim of the Mill Creek drainage, east of Los Molinos",194,100,,CAL FIRE Tehama-Glenn Unit,-121.91425,40.02261,,09425074-8348-4fbc-b95d-4939750f9345,https://www.fire.ca.gov/incidents/2017/10/26/tehama-fire/,2018-01-09T13:46:00Z,2018-01-09,2017-10-26,N,True,False
Silver Fire,True,2018-01-09T13:36:00Z,2017-10-11T15:59:00Z,CAL FIRE Fresno-Kings Unit,,Fresno,"Elwood Road and Silver Lane, northwest of Squaw Valley",58,100,All road closures lifted.,CAL FIRE Fresno-Kings Unit,-119.2288,36.7528,,46d1ec10-be8e-474a-b98f-ba7cd3521ccd,https://www.fire.ca.gov/incidents/2017/10/11/silver-fire/,2018-01-09T13:36:00Z,2018-01-09,2017-10-11,N,True,False
Pocket Fire (Central LNU Complex),True,2018-02-09T09:32:00Z,2017-10-09T03:30:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,"off of Pocket Ranch Rd and Ridge Ranch Rd, Geyserville ",17357,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.90939,38.76549,,0de36981-b31f-45c7-befd-1596f982e7db,https://www.fire.ca.gov/incidents/2017/10/9/pocket-fire-central-lnu-complex/,2018-02-09T09:32:00Z,2018-02-09,2017-10-09,N,True,False
Bear Fire,True,2018-01-09T13:41:00Z,2017-10-16T22:30:00Z,"CAL FIRE San Mateo-Santa Cruz Unit ",,Santa Cruz,"Bear Canyon Road and Deer Creek Road in Boulder Creek, CA",391,100,All roads are open. Please watch your speed on Bear Creek Road as fire vehicles will continue to patrol the area. Be advised that all roads in the fire area are private roads and access should be limited to those with official business.,"CAL FIRE San Mateo-Santa Cruz Unit , Santa Cruz County Sheriff, Santa Cruz County OES, Santa Cruz County FD, Santa Cruz City FD, American Red Cross of the Central Coast, California Highway Patrol, Aptos/La Selva FPD, Boulder Creek FPD, Branciforte FPD, Central FPD, Scotts Valley FPD, Zayante FPD, Watsonville City FD, San Mateo County OES, San Mateo County FD, Santa Clara County FD, North Bay Incident Management Team, Moffett Field FD, CAL FIRE Santa Clara, CAL FIRE San Benito-Monterey, CAL FIRE Amador-El Dorado, CAL FIRE San Luis Obispo, CAL FIRE Lassen-Modoc, and CAL FIRE Tuolumne-Calaveras.",-122.07012,37.18356,,b3627eac-9f2f-482a-81a6-681e60b5b24a,https://www.fire.ca.gov/incidents/2017/10/16/bear-fire/,2018-01-09T13:41:00Z,2018-01-09,2017-10-16,N,True,False
Wilson Fire,True,2018-01-09T13:40:00Z,2017-10-17T03:43:00Z,Angeles National Forest,,Los Angeles,"off Mount Wilson Circle near the Mount Wilson Observatory ",50,100,,Angeles National Forest,-118.05545,34.22551,,dcd7fb2e-3a4f-427e-9b13-1d2bcb0e8ac6,https://www.fire.ca.gov/incidents/2017/10/17/wilson-fire/,2018-01-09T13:40:00Z,2018-01-09,2017-10-17,N,False,False
River Fire,True,2018-01-09T13:36:00Z,2017-10-14T16:00:00Z,Six Rivers National Forest,,Trinity,"off of County Line Creek Rd, near the community of Mad River",148,100,,Six Rivers National Forest,-123.51619,40.46836,,eb8b50ba-b6bc-4668-b3f1-dcdbfbe71b17,https://www.fire.ca.gov/incidents/2017/10/14/river-fire/,2018-01-09T13:36:00Z,2018-01-09,2017-10-14,N,False,False
Quarry Fire,True,2018-01-09T13:36:00Z,2017-10-12T10:42:00Z,Kern County Fire Department,,Kern,"off Hwy 223, east of Arvin ",183,100,,Kern County Fire Department,-118.76152,35.19008,,ec27a3bd-959b-48f3-872e-2c87047dbae2,https://www.fire.ca.gov/incidents/2017/10/12/quarry-fire/,2018-01-09T13:36:00Z,2018-01-09,2017-10-12,N,True,False
